name,prediction,confidence,critic_score,critic_grade,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,key_concern,would_rerun_help
andrew jackson,same,high,19,CONFIRMED,pass,pass,pass,pass,pass,weak,pass,pass,pass,pass,"The reasoning is strong overall but could be more explicit about full name verification at both districts, though the sources likely contain this information.",False
andrew oberg,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,"None identified - this is an exemplary disambiguation with strong, direct evidence",False
angelica ramsey,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,None identified - reasoning is sound and well-supported,False
angelica ramsey,same,high,15,PLAUSIBLE,pass,pass,weak,pass,pass,pass,pass,fail,fail,pass,Critical timeline discrepancy between the position record (2014-2018) and the evidence found (2016-2021) creates uncertainty about whether this is truly the same person or if there might be two different Angelica Ramseys in superintendent roles.,True
anthony cook,same,high,5,SUSPECT,pass,pass,fail,fail,fail,fail,weak,fail,fail,fail,The reasoning appears to conflate two different Tony Cooks - a school superintendent and a state representative - using sources about different people as if they corroborate each other. The middle initials (W vs J) and completely different career trajectories strongly suggest these are different individuals.,True
anthony jackson,same,high,19,CONFIRMED,pass,pass,pass,pass,pass,pass,weak,pass,pass,pass,"The main concern is URL verification - while the URLs appear to be from relevant sources, I cannot confirm they all specifically support the career trajectory claims without accessing them. However, the reasoning otherwise appears sound.",False
anthony jackson,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"The reasoning lacks explicit documentation of the 4-phase search strategy, making it difficult to verify completeness of the search process.",False
anthony jackson,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,No significant concerns identified. The disambiguation appears well-supported with multiple independent sources confirming the same person's career trajectory.,False
aron borowiak,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,None identified - this is a well-reasoned disambiguation with strong evidence.,False
arthur culver,same,high,18,CONFIRMED,pass,pass,weak,pass,pass,weak,pass,pass,pass,pass,"The reasoning is strong but lacks explicit documentation of Phase 1 background search and Phase 3 full name verification at Longview ISD. While the Tier 1 evidence found is conclusive, the search strategy documentation is incomplete.",False
arthur culver,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,No significant concerns identified; this is a well-documented career progression with strong corroborating evidence.,False
arveneda mcdonald,same,high,16,PLAUSIBLE,pass,pass,weak,pass,pass,pass,weak,pass,weak,weak,Reliance on Radaris as evidence and questionable career progression (Superintendent to Principal) without addressing this anomaly,True
attila weninger,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,No significant concerns identified - this appears to be a very strong disambiguation case with thorough evidence and appropriate confidence calibration.,False
attila weninger,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,"None - this is an exemplary disambiguation with strong, direct evidence and proper reasoning.",False
barbara erwin,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,None identified - reasoning appears sound and well-supported,False
bernard josefsberg,same,high,19,CONFIRMED,pass,pass,pass,pass,pass,pass,weak,pass,pass,pass,"One of the cited URLs for New Paltz (2020-04-01-workmtgagenda.pdf) appears to be from 2020, not 2022, and may not directly support the 2022 interim superintendent claim. However, the Hudson Valley One article (Tier 1) explicitly states Josefsberg served as interim superintendent in New Paltz in 2022 and mentions his prior service in Mount Arlington, which provides strong direct evidence for the connection.",False
bernard taylor,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"The EdWeek transition article should be classified as Tier 1 evidence, not Tier 2, but this doesn't affect the overall strength of the case. The search strategy could be more explicitly documented.",False
blane mccann,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,None - this is an exemplary disambiguation with strong evidence and proper reasoning,False
brad wade,same,high,19,CONFIRMED,pass,pass,pass,pass,pass,weak,pass,pass,pass,pass,"The only minor concern is the lack of explicit verification that ""Brad Wade"" and ""Bradley Wade"" refer to the same person, though this is a minor issue given the strong corroborating evidence.",False
brian binggeli,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,None - this is an exemplary disambiguation with definitive evidence from official sources.,False
brian cordel,same,high,12,QUESTIONABLE,pass,pass,weak,weak,pass,pass,weak,weak,fail,fail,"The timeline inconsistency between 2021 retirement and 2024 employment, combined with potential overclassification of evidence quality, creates significant uncertainty about whether this is truly the same person.",True
brian metcalf,same,high,14,PLAUSIBLE,pass,pass,weak,pass,pass,pass,weak,fail,weak,weak,"Critical timeline inconsistency: reasoning claims Brian Metcalf was at Grand Ledge until 2020, but original position data only lists 2011-2012 and 2014-2015. This discrepancy is unexplained and undermines the entire conclusion.",True
brian osborne,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,"Minor timeline discrepancy: HuffPost bio states 7-year tenure at South Orange-Maplewood (roughly 2007-2014) while record shows 2011-2013, but this doesn't contradict the core conclusion since 2011-2013 falls within the documented tenure period.",False
brian pekarek,same,high,7,SUSPECT,pass,pass,weak,fail,fail,pass,fail,fail,fail,fail,"The reasoning overstates the evidence quality and confidence level. Most cited evidence is circumstantial (career patterns, name consistency) rather than direct proof of the same person across both districts. The Wikipedia link doesn't even mention Pekarek, and confidence is too high for the evidence quality.",True
brian shumate,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,None - this is an exemplary disambiguation with strong evidence and proper reasoning.,False
broadus davis,same,high,12,QUESTIONABLE,pass,pass,weak,weak,weak,weak,pass,weak,fail,weak,The reasoning relies heavily on asserted evidence without demonstrating the actual content that would confirm the career trajectory. The high confidence seems unjustified without visible proof of full name verification at both districts and clear Tier 1-2 sources showing the career progression.,True
bruce borchers,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,No significant concerns identified - this appears to be a well-documented case with strong corroborating evidence from multiple independent sources.,False
bruce brown,same,high,7,SUSPECT,pass,fail,weak,pass,fail,fail,pass,fail,fail,fail,"The reasoning fails to verify that ""Bruce T. Brown"" (Edon) and ""Bruce W. Brown"" (Stockbridge) are the same person. For a very common name like Bruce Brown, different middle initials should trigger a presumption that these are likely different people unless strong evidence proves otherwise. The reasoning incorrectly treats this as a minor variation rather than a critical discrepancy requiring additional verification.",True
bruce watson,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,None identified - this is a well-researched case with strong evidence and proper methodology.,False
bruce watson,same,high,19,CONFIRMED,pass,pass,pass,weak,pass,pass,pass,pass,pass,pass,"The reasoning is solid overall with strong evidence and clear career timeline. The only minor issue is some evidence tier classification nuance (current district documents labeled Tier 1 when typically Tier 3, Madison bio labeled Tier 2 when typically Tier 3), but the Madison bio contains explicit career history which elevates its value, and the Record Online article is properly a Tier 1 hiring announcement. These classification issues don't undermine the conclusion.",False
bruce watson,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,No significant concerns identified. The reasoning is thorough and well-supported with multiple independent sources.,False
bryan mcgraw,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,"Minor discrepancy: Position 2 is listed as 2023-2024, but evidence suggests McGraw joined Jefferson City as deputy superintendent in 2021 and became superintendent around 2022. However, this doesn't undermine the core identity determination that both records refer to the same person.",False
cafer cengiz,same,high,18,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,weak,"The reasoning is strong overall but has a minor gap in fully cross-verifying that all sources referencing 'Mr. Cengiz' definitively refer to the same specific individual confirmed by LinkedIn and ISBE documents, though the network context makes this highly likely.",False
carl hilling,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"The disambiguation appears strong overall with substantial corroborating evidence. The only minor weakness is lack of explicit documentation of the 4-phase search strategy, but the evidence gathered is comprehensive and convincing.",False
carlton jenkins,same,high,17,PLAUSIBLE,pass,pass,weak,weak,pass,pass,pass,pass,weak,pass,"The reasoning is strong but lacks Tier 1 evidence (LinkedIn, hiring announcements) and doesn't clearly document the 4-phase search strategy. While multiple independent sources confirm the career path, the confidence level might be slightly overstated given the evidence tier.",False
carol birks,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,"No significant concerns found - this is an exemplary disambiguation with strong, multi-source evidence.",False
carol birks,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,None - this is an exceptionally well-supported disambiguation with multiple independent sources including a Tier 1 professional profile that explicitly connects both superintendent positions.,False
carol kelley,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,"No significant concerns found. This is an exemplary disambiguation with strong, corroborated evidence.",False
carole schmidt,same,high,14,PLAUSIBLE,pass,pass,weak,pass,pass,pass,pass,fail,weak,fail,"The reasoning contains a critical timeline inconsistency about Carole Schmidt's career path, creating uncertainty about whether she was actually superintendent of Benton Harbor in 2008 as claimed.",True
carolyn koos,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,None - this is a well-researched case with strong evidence and appropriate confidence level.,False
cassandra schug,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,"No concerns identified. This is an exemplary disambiguation with strong, direct evidence from multiple independent sources.",False
charles coleman,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"Minor weakness in not explicitly documenting the 4-phase search strategy, but overall strong case with definitive Tier 1 evidence",False
charles cudney,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,No significant concerns identified. The reasoning appears sound and well-supported.,False
charles edmonds,same,high,7,SUSPECT,pass,pass,weak,fail,fail,fail,pass,fail,fail,fail,Critical reasoning error claiming middle initial 'S.' stands for 'Hugh' suggests fundamental misinterpretation of evidence. The entire case may be built on incorrect assumptions about name matching and lacks the crucial transition documentation needed to prove these are the same person.,True
charles garland,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,"Minor discrepancy in position 1 end date (shown as 2018 in query but evidence shows 2019), but this doesn't change the fundamental conclusion.",False
charles holloway,same,high,16,PLAUSIBLE,pass,weak,fail,pass,pass,pass,weak,pass,pass,pass,The reasoning lacks documentation of systematic search methodology and the evidence URLs need verification for actual content relevance.,True
charles mcnulty,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"Minor weakness in search strategy documentation - reasoning doesn't explicitly mention the 4-phase search methodology, though evidence gathering appears comprehensive.",False
charles sampson,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,None identified - this is an exemplary disambiguation with strong evidence and sound reasoning.,False
charlotte baker,same,high,6,SUSPECT,pass,weak,fail,weak,fail,fail,weak,weak,fail,fail,"The reasoning fails to provide concrete evidence that Charlotte Baker served as superintendent in Missouri. All documented evidence appears to be Texas-based, with the Missouri claim being an assumption rather than a documented fact.",True
cheryl atkinson,same,high,18,CONFIRMED,pass,pass,weak,pass,pass,weak,pass,pass,pass,pass,Minor gap in full name verification at both districts - relies on news sources rather than official district records showing complete name matching.,False
chris ballenger,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"The reasoning is strong overall but lacks explicit documentation of the complete 4-phase search strategy, making it difficult to verify that all appropriate search phases were attempted.",False
christine anderson,same,high,14,PLAUSIBLE,pass,pass,weak,weak,weak,fail,pass,pass,weak,pass,Incomplete full name verification - middle initial 'J' established at Palm Springs but not confirmed at Twin Lakes,True
christine barnes,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,None identified - this is an exemplary disambiguation with strong evidence and reasoning.,False
connie hathorn,same,high,17,PLAUSIBLE,pass,pass,weak,pass,pass,fail,pass,pass,pass,pass,"Missing explicit full name verification at Watson Chapel School District - while transition evidence is strong, the reasoning doesn't confirm that 'Connie G. Hathorn' is the exact name used in Arkansas records.",False
corey seymour,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,No significant concerns identified. The reasoning is thorough and well-supported.,False
craig artist,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,"No significant concerns identified. The disambiguation appears sound with strong, corroborated evidence from multiple independent sources.",False
craig fiegel,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"The reasoning is strong overall but lacks explicit documentation of the systematic search process. While the evidence found is excellent, the analysis doesn't show that all 4 search phases were attempted, making it difficult to verify the thoroughness of the investigation.",True
creg williams,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,None - this is an exemplary disambiguation with strong evidence and sound reasoning,False
crystal edwards,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"The reasoning is strong but lacks explicit documentation of the search methodology phases. While the evidence found is comprehensive and definitive, the absence of documented search strategy makes it difficult to verify that all appropriate phases were attempted or correctly short-circuited.",False
cuneyt akdemir,same,high,13,QUESTIONABLE,pass,pass,weak,weak,pass,pass,pass,fail,fail,weak,"The career progression from Superintendent to Principal and back to Superintendent within 5 years is highly unusual and creates reasonable doubt about whether this is the same person, despite the uncommon name and multiple sources.",True
curt rheingans,same,high,9,SUSPECT,pass,pass,weak,fail,fail,pass,pass,fail,fail,fail,The reasoning contains a critical logical gap: it presents evidence connecting Creston to Iowa Valley Community Schools (different district) but then concludes this proves connection to English Valleys Community School District. No direct evidence links the specific positions in question.,True
curt rheingans,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"The only minor weakness is not explicitly documenting the 4-phase search strategy, but this is offset by the discovery of definitive Tier 1 evidence.",False
dale greimann,same,high,18,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,weak,pass,The obituary is excellent evidence but confidence may be slightly high for a single source; would benefit from additional corroboration.,False
dale martin,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,"None - this is an exemplary disambiguation with strong, explicit evidence connecting both positions",False
dale martin,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"The reasoning is very strong with explicit pension evidence connecting the positions, but could be clearer about the systematic search approach used.",False
dale slagle,same,high,18,CONFIRMED,pass,pass,weak,weak,pass,pass,pass,pass,pass,pass,"The reasoning is solid overall, but could be more explicit about the systematic search strategy and evidence tier classification. The ZoomInfo career progression is the strongest evidence (Tier 1), while other sources are more supporting (Tier 2-3), but this distinction isn't clearly made in the reasoning.",False
dan cox,same,high,14,PLAUSIBLE,pass,pass,weak,weak,fail,pass,pass,pass,fail,pass,The high confidence prediction is not adequately supported by the evidence quality and corroboration level shown. The reasoning relies heavily on timeline plausibility and name consistency without demonstrating the required 2+ independent Tier 1-2 sources for high confidence conclusions.,True
dana bedden,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"The reasoning is solid but would be stronger if it explicitly documented the 4-phase search process rather than jumping to results. However, the evidence breadth suggests thorough searching occurred.",False
dana bedden,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,None identified - this is a well-documented case with strong corroborating evidence from multiple independent sources.,False
dana bedden,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,None - this is an exceptionally well-documented case with multiple Tier 1 sources explicitly confirming the career transition between districts.,False
dana bedden,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,None identified - this appears to be a very strong disambiguation with excellent evidence and reasoning.,False
dana bedden,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"The reasoning is exceptionally strong with multiple independent Tier 1 sources confirming the same person. The only minor gap is not explicitly documenting the 4-phase search strategy, but the evidence quality and breadth suggest thorough research was conducted.",False
dana bedden,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,No significant concerns found - this is an exemplary disambiguation with strong evidence and sound reasoning.,False
dana bedden,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,No significant concerns found - the reasoning appears thorough and well-supported with multiple independent sources.,False
dana bedden,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,No significant concerns found - the reasoning is sound and well-supported.,False
dana bedden,same,high,13,QUESTIONABLE,pass,pass,weak,fail,fail,pass,pass,pass,fail,pass,"The evidence tier classification is incorrect - a personal consulting website and WikiGenius are treated as Tier 1 sources when they are actually Tier 3-4 (self-reported/unreliable). This leads to overconfident 'high' prediction when only 2 independent Tier 2 sources exist, which should warrant 'medium' confidence at best.",True
daniel brenner,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,None - this is an exceptionally well-supported disambiguation with multiple independent sources confirming the career transition.,False
daniel lukich,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,None - this is a well-documented case with strong multi-source verification,False
daniel lukich,same,high,16,PLAUSIBLE,pass,pass,weak,pass,weak,weak,pass,pass,weak,pass,Single-source reliance despite high confidence claim - only Palatine CCSD 15's history page used without independent corroboration or full name verification at Orange City,True
daniel lukich,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,The reasoning is very strong with multiple independent Tier 1 sources confirming the same person across districts. No significant concerns identified.,False
daniel nerad,same,high,18,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,weak,"The reasoning is generally sound but has a minor timeline discrepancy between the obituary (2008-2012 in Madison) and the position record (2008-2011). More importantly, the search strategy completeness is not documented.",True
darin powell,same,high,9,SUSPECT,pass,pass,weak,weak,weak,fail,weak,weak,fail,fail,"The reasoning overstates the strength of evidence and contains logical gaps. The IEA article only mentions 'ties to Hannibal' which could refer to many people, not specifically confirming the same Darin Powell. The LinkedIn profile showing Bowling Green, MO location while working at Illinois district is contradictory evidence, not confirmation. No clear verification that the full name 'Darin Powell' appears at both districts.",True
darrell floyd,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,None - this is an exemplary disambiguation with strong evidence and sound reasoning,False
darrell smith,same,high,5,SUSPECT,pass,fail,fail,weak,fail,weak,weak,fail,fail,fail,"The reasoning makes a high confidence 'same' prediction based solely on two separate state directory listings with no corroborating evidence connecting them, which is insufficient for a moderately common name.",True
daryl herrick,same,high,14,PLAUSIBLE,pass,pass,weak,pass,pass,pass,pass,fail,fail,weak,"The reasoning dismisses a significant timeline discrepancy (DOE record shows 2014, all evidence shows 2015-16) as a simple data entry error without adequate justification. This 1-2 year gap is substantial and the casual dismissal undermines the high confidence claim.",True
daryl pruter,same,high,15,PLAUSIBLE,pass,pass,weak,weak,pass,pass,pass,weak,fail,pass,"High confidence is unsupported - no direct evidence shows the same person moved between districts, only that someone with the same name held both positions.",True
dave wilcox,same,high,3,SUSPECT,pass,fail,fail,fail,fail,fail,weak,fail,fail,fail,"The reasoning attempts to connect ""dave wilcox"" with ""Brian Wilcox"" as the same person without any evidence that these are the same individual. Different first names require strong verification, which is completely missing.",True
david benson,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"Minor weakness in not explicitly documenting the 4-phase search methodology, but this doesn't affect the correctness of the conclusion given the strong evidence found.",False
david bradley,same,high,17,PLAUSIBLE,pass,pass,weak,weak,pass,pass,pass,pass,weak,pass,"The confidence level may be overstated. While multiple sources corroborate the career progression, the evidence appears to be primarily Tier 2 (news articles and government records) rather than Tier 1 sources that would definitively establish the career connection. High confidence typically requires Tier 1 sources.",False
david brax,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,No significant concerns identified. The disambiguation appears sound with strong corroborating evidence.,False
david carr,same,high,19,CONFIRMED,pass,pass,pass,pass,pass,weak,pass,pass,pass,pass,"The full name verification could be stronger - while name variations are noted, there's no explicit confirmation that ""David D. Carr"" from NY matches exactly with ""David Carr"" from NJ beyond assuming it's a formatting difference.",True
david carriger,same,high,13,QUESTIONABLE,pass,pass,weak,fail,weak,pass,pass,pass,fail,weak,The confidence is overcalibrated - high confidence claimed with only Tier 2-3 evidence when high confidence requires Tier 1 sources,True
david damerall,same,high,12,QUESTIONABLE,pass,pass,weak,weak,pass,pass,pass,fail,fail,fail,"The reasoning contains a critical internal contradiction: the article states David Damerall led Kirkwood for 15 years, but the record shows 2003-2009 (only 6 years). Additionally, the Bay City dates (1990-1993 vs 1994-2008) are dismissed as a 'data error' without investigation. These unresolved timeline discrepancies undermine the high confidence conclusion.",True
david dude,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"The reasoning is solid overall, with strong evidence and proper corroboration. The only minor weakness is not explicitly documenting the systematic 4-phase search process, though the evidence suggests it was thorough.",False
david larson,same,high,18,CONFIRMED,pass,pass,weak,pass,pass,pass,weak,pass,pass,pass,"The Birmingham Patch URLs appear malformed/truncated, which raises a minor concern about whether the links were properly verified. However, the reasoning describes the content accurately and multiple independent sources support the conclusion.",False
david larson,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,The reasoning is solid but could be more explicit about following the systematic 4-phase search approach. The career progression evidence is strong with multiple independent confirmations.,False
david markward,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,No significant concerns identified - this is a well-documented case with exceptional evidence.,False
david martin,same,high,18,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,weak,pass,pass,"Timeline contradictions in reasoning - claims Tennessee position was 2021-2022 but then states 2013-2023, and mentions a 12-year gap that doesn't match the continuous career progression shown.",True
david moyer,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,No significant concerns identified. The reasoning is thorough and well-supported by multiple independent sources.,False
david moyer,same,high,19,CONFIRMED,pass,pass,pass,pass,pass,weak,pass,pass,pass,pass,"Minor concern about explicit full name verification at both districts, though sources consistently use the same name.",False
david moyer,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,No significant concerns identified - this is an exemplary disambiguation with strong evidence and proper methodology.,False
david pruneau,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"Minor weakness in not explicitly documenting the 4-phase search process, but overall reasoning is excellent with strong documentary evidence.",False
david stephens,same,high,14,PLAUSIBLE,pass,pass,weak,pass,fail,pass,weak,pass,fail,pass,"Single source dependency - only one Tier 1 source actually documents the transition between districts, which is insufficient for high confidence when claiming two positions are held by the same person.",True
david strudthoff,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,None - this is an exemplary disambiguation with gold-standard evidence.,False
david strudthoff,same,high,10,QUESTIONABLE,pass,weak,fail,pass,pass,fail,pass,weak,fail,fail,"The reasoning fails to verify that the David Strudthoff at Postville is the same individual as the David Strudthoff at New Glarus. Multiple sources confirm each position separately, but no source confirms one person held both positions.",True
deborah wheeler,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,No significant concerns identified - this is a well-documented case with multiple independent sources clearly showing the career progression.,False
debra kaplan,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,The reasoning is solid but could be more explicit about following the systematic 4-phase search process.,False
demond means,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,No significant concerns identified - this is a well-documented case with strong corroborating evidence.,False
denise herrmann,same,high,17,PLAUSIBLE,pass,pass,weak,weak,pass,pass,pass,pass,weak,pass,"The main concern is evidence tier classification - treating a student newspaper (Eye of the Tiger News) as strong evidence when it should be Tier 3. While the overall conclusion appears correct, the confidence level may be slightly inflated given the mixed quality of sources.",False
destry brown,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"The only minor weakness is the lack of explicit documentation of the 4-phase search strategy, though the evidence quality suggests thorough searching was performed.",False
devon horton,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"The search strategy documentation is incomplete - while strong evidence was found, the reasoning doesn't clearly show whether all 4 search phases were attempted or appropriately short-circuited.",False
dexter suggs,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"The main concern is the lack of explicit documentation of the search strategy phases. While the evidence found is comprehensive and strong, the reasoning doesn't show whether all 4 phases of the search protocol were attempted or correctly short-circuited.",False
